dealer_number,part_number,first_sale_date,first_sale_date_amount,second_sale_date,second_sale_date_amount,third_sale_date,third_sale_date_amount,fourth_sale_date,fourth_sale_date_amount,fifth_sale_date,fifth_sale_date_amount
111111,12589053,3/23/12,1,,,,,,,,
111111,19260048,4/17/12,1,10/14/11,1,,0,,0,,0
111111,24506488,12/7/15,1,10/3/12,1,2/27/12,1,,,,
111111,15774527,5/27/16,1,2/27/12,1,,,,,,
111111,17802472,1/25/16,1,6/24/14,1,6/14/14,1,4/9/14,1,1/16/13,1
111111,19194815,2/27/12,2,,,,,,,,
111111,22759917,2/27/12,1,,,,,,,,
111111,19209234,1/11/16,1,,0,,0,,0,,0
111111,19209805,6/5/15,1,12/26/14,1,8/20/14,1,4/1/14,1,5/4/13,1
111111,19244472,4/20/11,4,,0,,0,,0,,0
111111,19244953,7/26/11,1,,0,,0,,0,,0
111111,19257055,4/4/16,1,12/22/15,1,11/13/13,1,12/7/12,1,9/29/11,1
111111,19259019,3/9/16,1,,0,,0,,0,,0
111111,19287400,11/3/16,3,11/2/16,3,11/1/16,4,10/29/16,1,10/28/16,3
111111,20904439,10/18/16,1,7/29/15,1,6/16/14,1,7/24/12,1,4/2/12,1
111111,22756459,1/25/13,1,4/20/11,1,,0,,0,,0
111111,22759316,4/18/14,1,7/2/12,1,4/22/11,1,,0,,0
111111,19241581,10/3/16,1,8/20/16,1,7/11/16,1,6/10/16,1,6/8/16,1
111111,26022717,3/26/12,1,,,,,,,,
111111,11609938,1/29/16,1,10/24/13,2,3/26/12,2,,,,
111111,22820406,12/13/13,1,2/27/13,1,6/8/12,1,6/30/11,1,,0
111111,22837923,8/6/14,1,1/7/14,1,10/24/13,1,10/22/13,1,9/12/12,1
111111,24235861,6/18/13,1,6/10/13,1,,0,,0,,0
111111,89038964,4/2/12,1,,,,,,,,
111111,12630084,8/11/16,1,4/12/16,1,11/14/15,1,8/14/13,1,12/6/12,1
111111,15260309,4/2/12,1,,,,,,,,
111111,22804411,3/2/12,1,,,,,,,,
111111,52458592,3/2/12,1,,,,,,,,
111111,92214927,8/3/12,1,3/2/12,1,,,,,,
111111,20926207,11/1/13,1,3/2/12,1,,,,,,
111111,22741672,10/5/16,1,9/23/16,1,9/20/16,1,9/9/16,1,8/10/16,1
111111,25864381,3/2/12,1,,,,,,,,
111111,26019101,3/2/12,1,,,,,,,,
111111,88936958,3/2/12,1,,,,,,,,
111111,89023022,3/2/12,1,,,,,,,,
111111,15075414,5/17/14,1,12/19/12,1,3/2/12,1,,,,
111111,14090906,11/30/15,1,11/3/15,1,7/21/15,1,4/30/15,1,4/18/15,1
111111,15138625,3/27/12,1,,,,,,,,
111111,89021613,3/27/12,2,,,,,,,,
111111,12231740,3/27/12,1,,,,,,,,
111111,10110858,3/14/12,1,,,,,,,,
111111,12367296,3/14/12,1,,,,,,,,
111111,26102160,3/14/12,1,,,,,,,,
111111,19168171,3/28/12,1,,,,,,,,
111111,22738722,7/12/16,1,6/14/16,1,9/30/15,1,11/26/14,1,9/29/14,1
111111,25691733,3/28/12,1,,,,,,,,
111111,25710672,3/28/12,1,,,,,,,,
111111,25723646,3/28/12,1,,,,,,,,
111111,12574474,3/28/12,1,,,,,,,,
111111,22590866,3/22/12,1,,,,,,,,
111111,88988987,3/22/12,1,,,,,,,,
111111,11609283,4/22/16,1,3/22/12,1,,,,,,
111111,11900443,4/22/16,1,3/22/12,1,,,,,,
111111,12474012,9/21/15,1,6/24/15,1,4/2/13,1,3/22/12,1,,
111111,12474013,9/21/15,1,6/24/15,1,4/2/13,1,3/22/12,1,,
111111,12494847,10/2/15,1,4/11/12,1,3/22/12,1,,,,
111111,5485678,10/23/12,3,3/22/12,2,,,,,,
111111,15306039,3/22/12,1,,,,,,,,
111111,88944069,3/22/12,1,,,,,,,,
111111,89018165,9/14/16,1,3/22/12,1,,,,,,
111111,89026367,3/22/12,1,,,,,,,,
111111,92139182,3/22/12,1,,,,,,,,
111111,25181235,4/30/14,1,3/10/12,1,,,,,,
111111,5481694,3/20/12,1,,,,,,,,
111111,12335874,3/20/12,1,,,,,,,,
111111,12588670,3/20/12,1,,,,,,,,
111111,15233598,3/20/12,2,,,,,,,,
111111,19120528,3/20/12,1,,,,,,,,
111111,19260759,10/20/14,1,5/23/12,1,5/14/12,1,4/19/12,1,4/3/12,1
111111,22697601,10/20/12,1,4/16/12,1,3/20/12,1,,,,
111111,22920448,5/23/12,1,5/14/12,1,4/19/12,1,4/3/12,1,3/20/12,1
111111,22922225,5/23/12,1,5/14/12,1,4/19/12,1,4/3/12,1,3/20/12,1
111111,25795263,3/20/12,1,,,,,,,,
111111,89023032,10/20/12,1,3/20/12,1,,,,,,
111111,19235107,3/20/12,1,,,,,,,,
111111,25802950,3/20/12,1,,,,,,,,
111111,26053326,5/3/16,1,5/5/15,3,11/28/12,3,8/9/12,4,3/20/12,3
111111,12471625,5/5/15,1,3/20/12,1,,,,,,
111111,12471633,3/20/12,1,,,,,,,,
111111,12471636,5/5/15,1,3/20/12,1,,,,,,
111111,12479125,3/20/12,1,,,,,,,,
111111,12479197,3/20/12,1,,,,,,,,
111111,12497795,9/11/12,1,3/20/12,1,,,,,,
111111,96464480,3/20/12,2,,,,,,,,
111111,13504199,4/13/15,1,6/7/14,1,5/19/14,1,5/17/14,2,3/20/12,1
111111,15117741,3/20/12,2,,,,,,,,
111111,15183347,6/12/14,1,3/20/12,1,,,,,,
111111,15183348,6/12/14,1,5/25/12,1,3/20/12,1,,,,
111111,22743309,3/21/12,1,,,,,,,,
111111,25855326,10/27/16,1,3/21/12,1,,,,,,
111111,5489658,3/21/12,1,,,,,,,,
111111,23206190,7/27/15,1,,,,,,,,
111111,25194238,7/27/15,1,,,,,,,,
111111,25654378,7/27/15,1,,,,,,,,
111111,15918059,7/27/15,1,,,,,,,,
111111,95164185,7/27/15,1,,,,,,,,
111111,19161281,7/12/16,4,7/27/15,4,,,,,,
111111,19301546,7/27/15,1,,,,,,,,
111111,19329594,6/17/16,1,7/27/15,1,,,,,,
111111,15691277,3/7/12,1,,,,,,,,
111111,19149251,3/7/12,1,,,,,,,,
111111,19175091,3/8/12,1,3/7/12,1,,,,,,
111111,20902233,7/3/15,1,3/7/12,1,,,,,,
111111,15263372,6/9/14,1,3/7/12,1,,,,,,
111111,24204319,3/7/12,1,,,,,,,,
111111,20993782,8/20/13,1,,,,,,,,
111111,15359299,8/20/13,1,,,,,,,,
111111,1647540,8/23/13,1,8/20/13,1,,,,,,
111111,19206323,8/20/13,1,,,,,,,,
111111,22782946,8/26/14,1,1/8/14,1,8/20/13,1,,,,
111111,25753304,8/20/13,1,,,,,,,,
111111,25798891,5/9/16,1,2/2/15,1,8/26/14,1,11/26/13,1,8/20/13,1
111111,10230635,8/20/13,1,,,,,,,,
111111,12567730,8/20/13,1,,,,,,,,
111111,12569160,8/20/13,1,,,,,,,,
111111,15136579,6/30/14,1,8/20/13,1,,,,,,
111111,19260280,1/25/16,1,,,,,,,,
111111,23291703,10/5/16,1,6/6/16,1,1/25/16,1,,,,
